MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
726331000006111	200000	B13	B13..00	Malignant neoplasm of colon	363406005	3446619012	32
725191000006116	7000	B130	B130.00	Malignant tumour of hepatic flexure	363407001	482614010	32
721421000006112	10000	B131	B131.00	Malignant tumour of transverse colon	363408006	482615011	32
725951000006112	8000	B132	B132.00	Malignant tumour of descending colon	363409003	482618013	32
721991000006115	100000	B133	B133.00	Malignant tumour of sigmoid colon	363410008	482619017	32
1216464010	50000	B134	B134.00	Malignant neoplasm of caecum	363350007	1216464010	32
380129018	20000	B134-1	B134.11	Carcinoma of caecum	255081007	380129018	32
727281000006117	4000	B135	B135.00	Malignant neoplasm of appendix	363411007	482621010	32
727321000006111	20000	B136	B136.00	Malignant tumour of ascending colon	363412000	482623013	32
721821000006114	5000	B137	B137.00	Malignant neoplasm of splenic flexure of colon	363413005	482625018	32
288670017	60	B138	B138.00	Malignant neoplasm, overlapping lesion of colon	187757001	288670017	32
288671018	300	B13y	B13y.00	Malignant neoplasm of other specified sites of colon	363406005	482611019	32
403682011	50000	B13z	B13z.00	Malignant tumour of colon	363406005	482611019	32
573611000006118	80000	B13z-1	B13z.11	Colonic cancer	363406005	482611019	32
288675010	10000	B14	B14..00	Malignant neoplasm of rectum, rectosigmoid junction and anus	187760008	288675010	32
722441000006110	10000	B140	B140.00	Malignant tumour of rectosigmoid junction	363414004	482627014	32
155488014	200000	B141	B141.00	Malignant tumour of rectum	363351006	482502014	32
379088010	30000	B141-1	B141.11	Carcinoma of rectum	254582000	379090011	32
379089019	100000	B141-2	B141.12	Rectal carcinoma	254582000	379090011	32
155076015	10000	B142	B142.00	Malignant tumour of anal canal	363352004	482503016	32
729581000006111	200	B14y	B14y.00	Malig neop other site rectum, rectosigmoid junction and anus	187760008	288675010	32
720501000006110	600	B14z	B14z.00	Malignant neoplasm rectum,rectosigmoid junction and anus NOS	187760008	288675010	32
841331000006115	50000	B1z0-1	B1z0.11	Cancer of bowel	363508008	1228620018	32
2280371000000117	700	68W24	68W2400	Bowel scope (flexible sigmoidoscopy) screen: cancer detected	884601000000103	2280371000000117	1
517421000000115	400	9Ow1	9Ow1.00	Bowel cancer detected by national screening programme	294301000000103	517421000000115	37
459527013	600	B139	B139.00	Hereditary nonpolyposis colon cancer	315058005	459527013	32
291436015	100	BB5U1	BB5U100	Adenocarcinoma in villous adenoma	36087009	60221017	32
318101000006112	90	BB5U2	BB5U200	[M]Villous adenocarcinoma	28558000	47797019	32
